id;region;municipality;settlement;type;population;children;latitude_dms;longitude_dms;latitude_dd;longitude_dd;oktmo;dadata;rosstat
139537;Тамбовская область;Первомайский район;Старокленское;с;532;61;53.12.37;040.10.08;53.2102777777778;40.1688888888889;68622460101;0;1
139540;Алтайский край;Усть-Калманский;Новобураново;с;780;160;51.56.39;083.02.24;51.9441666666667;83.04;1654422101;0;1
139566;Алтайский край;Хабарский;Целинный;п;560;156;53.45.56;079.42.04;53.7655555555556;79.7011111111111;1656420126;0;1
139572;Владимирская область;Собинский;Собинка;г;18059;3806;55.59.38;040.01.05;55.9938888888889;40.0180555555556;17650101001;0;1
139582;Алтайский край;Шелаболихинский;Крутишка;с;1003;195;53.27.43;081.49.37;53.4619444444444;81.8269444444445;1645430101;0;1
139589;Брянская область;Почепский район;Доманичи;с;620;237;53.00.01;033.25.34;53.0002777777778;33.4261111111111;15644440101;0;1
139600;Алтайский край;Мамонтовский;Кадниково;с;696;119;52.51.54;081.54.53;52.865;81.9147222222222;1626424101;0;1
139603;Республика Мордовия;Ардатовский;Октябрьский;п;756;125;54.53.53;043.13.18;54.8980555555556;43.2216666666667;89603460101;0;1
139610;Нижегородская область;Починковский район;Ризоватово;с;647;111;54.46.30;044.37.27;54.775;44.6241666666667;22646468101;0;1
139642;Алтайский край;Поспелихинский;12 лет Октября;п;668;106;51.43.02;081.49.02;51.7172222222222;81.8172222222222;1634422101;0;1
139645;Новгородская область;Парфинский муниципальный район;Парфино;рп;6692;1304;57.57.47;031.38.46;57.9630555555556;31.6461111111111;49630151051;0;1
139659;Ставропольский край;Георгиевский район;Новозаведенное;с;5100;1192;44.15.49;043.38.22;44.2636111111111;43.6394444444444;7707000151;0;1
139660;Еврейская автономная область;Ленинский район;Ленинское;с;5541;1836;47.56.08;132.37.19;47.9355555555556;132.621944444444;99610460101;0;1
139671;Орловская область;Город Мценск;Мценск;г;37136;6349;53.16.44;036.34.30;53.2788888888889;36.575;54710000001;0;1
139683;Новосибирская область;Здвинский район;Здвинск;с;4741;1093;54.42.08;078.39.45;54.7022222222222;78.6625;50613407101;0;1
139687;Свердловская область;Серовский городской округ;Красноярка;п;1470;396;59.25.28;060.31.05;59.4244444444444;60.5180555555556;65756000186;0;1
139692;Республика Марий Эл;Медведевский район;Руэм;п;3255;998;56.37.59;047.45.28;56.6330555555556;47.7577777777778;88628442101;0;1
139715;Кировская область;Киров;Сидоровка;п;877;162;58.31.33;049.48.12;58.5258333333333;49.8033333333333;33701000631;0;1
139716;Тверская область;Конаковский район;Конаково;г;38645;6750;56.42.48;036.46.46;56.7133333333333;36.7794444444444;28630101001;0;1
139718;Приморский край;Чугуевский;Уборка;с;709;53;44.23.47;134.05.28;44.3963888888889;134.091111111111;5555000241;0;1
139722;Оренбургская область;Кваркенский район;Айдырлинский;п;674;122;52.03.07;059.45.53;52.0519444444444;59.7647222222222;53622410116;0;1
139725;Новосибирская область;Тогучинский район;Степногутово;с;556;138;54.50.53;084.57.52;54.8480555555556;84.9644444444444;50652441101;0;1
139740;Республика Тыва;Барун-Хемчикский кожуун;Барлык;с;1456;517;51.08.10;090.32.10;51.1361111111111;90.5361111111111;93610413101;0;1
139741;Республика Дагестан;Хивский район;Ашага-Архит;с;808;185;41.44.06;047.58.24;41.735;47.9733333333333;82655405101;0;1
139742;Забайкальский край;Каларский район;Новая Чара;пгт;4009;1126;56.47.52;118.16.16;56.7977777777778;118.271111111111;76615156051;1;0
139745;Республика Татарстан;Арский район;Абзябар;д;869;166;56.04.57;049.43.17;56.0825;49.7213888888889;92612422116;0;1
139747;Республика Адыгея;Теучежский район;Габукай;аул;1811;379;44.55.41;039.33.54;44.9280555555556;39.565;79633445101;0;1
139749;Московская область;Егорьевский;Павлова;п;927;25;55.08.51;039.12.37;55.1475;39.2102777777778;46722000605;0;1
139750;Свердловская область;Камышловский городской округ;Баранникова;д;775;154;56.48.20;062.47.09;56.8055555555556;62.7858333333333;65623420101;0;1
139776;Новосибирская область;Тогучинский район;Лекарственное;с;669;106;55.00.07;083.38.54;55.0019444444444;83.6483333333333;50652437101;0;1
139778;Республика Крым;Красногвардейский район;Новопокровка;с;1212;0;45.25.19;034.26.53;45.4219444444444;34.4480555555556;35620444101;0;1
139784;Волгоградская область;Ленинский район;Коммунар;п;813;171;48.52.37;045.18.50;48.8769444444444;45.3138888888889;18630422101;0;1
139785;Алтайский край;Ключевский;Ключи;с;7767;2223;52.15.11;079.10.05;52.2530555555556;79.1680555555556;1617424101;0;1
139789;Ростовская область;Обливский;Средний Чир;п;636;124;48.32.47;042.28.14;48.5463888888889;42.4705555555556;60640420156;0;1
139799;Ставропольский край;Степновский район;Богдановка;с;1400;379;44.08.37;044.43.26;44.1436111111111;44.7238888888889;7652402101;0;1
139813;Чеченская республика;Шелковской муниципальный район;Дубовская;ст-ца;2372;426;43.47.30;046.33.06;43.7916666666667;46.5516666666667;96640407101;0;1
139841;Пермский край;Усольский район;Орел;пгт;1785;327;59.20.25;056.35.15;59.3402777777778;56.5875;57708000346;0;1
139844;Саратовская область;Ивантеевский район;Знаменский;п;1465;326;52.19.23;049.09.50;52.3230555555556;49.1638888888889;63619415101;0;1
139873;Калужская область;Козельский;Каменка;д;613;145;54.08.53;035.53.57;54.1480555555556;35.8991666666667;29616420000;0;1
139885;Псковская область;Великолукский район;Переслегино;д;1561;302;56.22.57;030.26.34;56.3825;30.4427777777778;58606432101;0;1
139887;Республика Дагестан;Шамильский район;Верхний Батлух;с;581;213;42.29.47;046.30.08;42.4963888888889;46.5022222222222;82646417000;0;1
